lcl|CDHK01000001.1_cds_CEJ53651.1_1	PMG11_00001
lcl|CDHK01000001.1_cds_CEJ53681.1_31	PMG11_00030
lcl|CDHK01000001.1_cds_CEJ53682.1_32	PMG11_00031
lcl|CDHK01000001.1_cds_CEJ53683.1_33	PMG11_00032
lcl|CDHK01000001.1_cds_CEJ53684.1_34	PMG11_00033
lcl|CDHK01000001.1_cds_CEJ53685.1_35	PMG11_00034
lcl|CDHK01000001.1_cds_CEJ53686.1_36	PMG11_00035
lcl|CDHK01000001.1_cds_CEJ53687.1_37	PMG11_00036
lcl|CDHK01000001.1_cds_CEJ53688.1_38	PMG11_00037
lcl|CDHK01000001.1_cds_CEJ53689.1_39	PMG11_00038
lcl|CDHK01000001.1_cds_CEJ53690.1_40	PMG11_00039
lcl|CDHK01000001.1_cds_CEJ53691.1_41	PMG11_00040
lcl|CDHK01000001.1_cds_CEJ53692.1_42	PMG11_00041
lcl|CDHK01000001.1_cds_CEJ53693.1_43	PMG11_00042
lcl|CDHK01000001.1_cds_CEJ53694.1_44	PMG11_00043
lcl|CDHK01000001.1_cds_CEJ53695.1_45	PMG11_00044
lcl|CDHK01000001.1_cds_CEJ53696.1_46	PMG11_00045
lcl|CDHK01000001.1_cds_CEJ53697.1_47	PMG11_00046
lcl|CDHK01000001.1_cds_CEJ53698.1_48	PMG11_00047
lcl|CDHK01000001.1_cds_CEJ53699.1_49	PMG11_00048
lcl|CDHK01000001.1_cds_CEJ53700.1_50	PMG11_00049
lcl|CDHK01000001.1_cds_CEJ53701.1_51	PMG11_00050
lcl|CDHK01000001.1_cds_CEJ53702.1_52	PMG11_00050
lcl|CDHK01000001.1_cds_CEJ53703.1_53	PMG11_00051
lcl|CDHK01000001.1_cds_CEJ53704.1_54	PMG11_00052
lcl|CDHK01000001.1_cds_CEJ53705.1_55	PMG11_00053
lcl|CDHK01000001.1_cds_CEJ53706.1_56	PMG11_00054
lcl|CDHK01000001.1_cds_CEJ53707.1_57	PMG11_00055
lcl|CDHK01000001.1_cds_CEJ53708.1_58	PMG11_00056
lcl|CDHK01000001.1_cds_CEJ53709.1_59	PMG11_00057
lcl|CDHK01000001.1_cds_CEJ53710.1_60	PMG11_00057
lcl|CDHK01000001.1_cds_CEJ53711.1_61	PMG11_00058
lcl|CDHK01000001.1_cds_CEJ53712.1_62	PMG11_00059
lcl|CDHK01000001.1_cds_CEJ53713.1_63	PMG11_00061
lcl|CDHK01000001.1_cds_CEJ53714.1_64	PMG11_00060
lcl|CDHK01000001.1_cds_CEJ53715.1_65	PMG11_00062
lcl|CDHK01000001.1_cds_CEJ53716.1_66	PMG11_00063
lcl|CDHK01000001.1_cds_CEJ53717.1_67	PMG11_00064
lcl|CDHK01000001.1_cds_CEJ53718.1_68	PMG11_00065
lcl|CDHK01000001.1_cds_CEJ53719.1_69	PMG11_00066
lcl|CDHK01000001.1_cds_CEJ53720.1_70	PMG11_00066
lcl|CDHK01000001.1_cds_CEJ53721.1_71	PMG11_00067
lcl|CDHK01000001.1_cds_CEJ53722.1_72	PMG11_00067
lcl|CDHK01000001.1_cds_CEJ53723.1_73	PMG11_00068
lcl|CDHK01000001.1_cds_CEJ53724.1_74	PMG11_00069
lcl|CDHK01000001.1_cds_CEJ53725.1_75	PMG11_00070
lcl|CDHK01000001.1_cds_CEJ53726.1_76	PMG11_00070
lcl|CDHK01000001.1_cds_CEJ53727.1_77	PMG11_00071
lcl|CDHK01000001.1_cds_CEJ53728.1_78	PMG11_00072
lcl|CDHK01000001.1_cds_CEJ53729.1_79	PMG11_00073
lcl|CDHK01000001.1_cds_CEJ53730.1_80	PMG11_00074
lcl|CDHK01000001.1_cds_CEJ53731.1_81	PMG11_00075
lcl|CDHK01000001.1_cds_CEJ53732.1_82	PMG11_00076
lcl|CDHK01000001.1_cds_CEJ53733.1_83	PMG11_00077
lcl|CDHK01000001.1_cds_CEJ53734.1_84	PMG11_00078
lcl|CDHK01000001.1_cds_CEJ53735.1_85	PMG11_00079
lcl|CDHK01000001.1_cds_CEJ53736.1_86	PMG11_00080
lcl|CDHK01000001.1_cds_CEJ53737.1_87	PMG11_00081
lcl|CDHK01000001.1_cds_CEJ53738.1_88	PMG11_00082
lcl|CDHK01000001.1_cds_CEJ53739.1_89	PMG11_00083
lcl|CDHK01000001.1_cds_CEJ53740.1_90	PMG11_00084
lcl|CDHK01000001.1_cds_CEJ53741.1_91	PMG11_00085
lcl|CDHK01000001.1_cds_CEJ53742.1_92	PMG11_00086
lcl|CDHK01000001.1_cds_CEJ53743.1_93	PMG11_00087
lcl|CDHK01000001.1_cds_CEJ53744.1_94	PMG11_00089
lcl|CDHK01000001.1_cds_CEJ53745.1_95	PMG11_00088
lcl|CDHK01000001.1_cds_CEJ53746.1_96	PMG11_00090
lcl|CDHK01000001.1_cds_CEJ53747.1_97	PMG11_00091
lcl|CDHK01000001.1_cds_CEJ53748.1_98	PMG11_00092
lcl|CDHK01000001.1_cds_CEJ53749.1_99	PMG11_00093
lcl|CDHK01000001.1_cds_CEJ53750.1_100	PMG11_00094
lcl|CDHK01000001.1_cds_CEJ53751.1_101	PMG11_00095
lcl|CDHK01000001.1_cds_CEJ53752.1_102	PMG11_00096
lcl|CDHK01000001.1_cds_CEJ53753.1_103	PMG11_00097
lcl|CDHK01000001.1_cds_CEJ53754.1_104	PMG11_00097
lcl|CDHK01000001.1_cds_CEJ53755.1_105	PMG11_00098
lcl|CDHK01000001.1_cds_CEJ53756.1_106	PMG11_00099
lcl|CDHK01000001.1_cds_CEJ53757.1_107	PMG11_00100
lcl|CDHK01000001.1_cds_CEJ53758.1_108	PMG11_00101
lcl|CDHK01000001.1_cds_CEJ53759.1_109	PMG11_00102
lcl|CDHK01000001.1_cds_CEJ53760.1_110	PMG11_00102
lcl|CDHK01000001.1_cds_CEJ53761.1_111	PMG11_00102
lcl|CDHK01000001.1_cds_CEJ53762.1_112	PMG11_00103
lcl|CDHK01000001.1_cds_CEJ53763.1_113	PMG11_00104
lcl|CDHK01000001.1_cds_CEJ53764.1_114	PMG11_00105
lcl|CDHK01000001.1_cds_CEJ53765.1_115	PMG11_00106
lcl|CDHK01000001.1_cds_CEJ53766.1_116	PMG11_00107
lcl|CDHK01000001.1_cds_CEJ53767.1_117	PMG11_00108
lcl|CDHK01000001.1_cds_CEJ53768.1_118	PMG11_00109
lcl|CDHK01000001.1_cds_CEJ53769.1_119	PMG11_00110
lcl|CDHK01000001.1_cds_CEJ53770.1_120	PMG11_00111
lcl|CDHK01000001.1_cds_CEJ53771.1_121	PMG11_00112
lcl|CDHK01000001.1_cds_CEJ53772.1_122	PMG11_00113
lcl|CDHK01000001.1_cds_CEJ53773.1_123	PMG11_00114
lcl|CDHK01000001.1_cds_CEJ53774.1_124	PMG11_00115
lcl|CDHK01000001.1_cds_CEJ53775.1_125	PMG11_00116
lcl|CDHK01000001.1_cds_CEJ53776.1_126	PMG11_00117
lcl|CDHK01000001.1_cds_CEJ53777.1_127	PMG11_00118
lcl|CDHK01000001.1_cds_CEJ53778.1_128	PMG11_00119
lcl|CDHK01000001.1_cds_CEJ53779.1_129	PMG11_00120
lcl|CDHK01000001.1_cds_CEJ53780.1_130	PMG11_00121
lcl|CDHK01000001.1_cds_CEJ53781.1_131	PMG11_00122
lcl|CDHK01000001.1_cds_CEJ53782.1_132	PMG11_00123
lcl|CDHK01000001.1_cds_CEJ53783.1_133	PMG11_00124
lcl|CDHK01000001.1_cds_CEJ53784.1_134	PMG11_00125
lcl|CDHK01000001.1_cds_CEJ53785.1_135	PMG11_00126
lcl|CDHK01000001.1_cds_CEJ53786.1_136	PMG11_00127
lcl|CDHK01000001.1_cds_CEJ53787.1_137	PMG11_00128
lcl|CDHK01000001.1_cds_CEJ53788.1_138	PMG11_00129
lcl|CDHK01000001.1_cds_CEJ53789.1_139	PMG11_00130
lcl|CDHK01000001.1_cds_CEJ53790.1_140	PMG11_00131
lcl|CDHK01000001.1_cds_CEJ53791.1_141	PMG11_00132
lcl|CDHK01000001.1_cds_CEJ53792.1_142	PMG11_00133
lcl|CDHK01000001.1_cds_CEJ53793.1_143	PMG11_00134
lcl|CDHK01000001.1_cds_CEJ53794.1_144	PMG11_00135
lcl|CDHK01000001.1_cds_CEJ53795.1_145	PMG11_00136
lcl|CDHK01000001.1_cds_CEJ53796.1_146	PMG11_00137
lcl|CDHK01000001.1_cds_CEJ53797.1_147	PMG11_00138
lcl|CDHK01000001.1_cds_CEJ53798.1_148	PMG11_00139
lcl|CDHK01000001.1_cds_CEJ53799.1_149	PMG11_00140
lcl|CDHK01000001.1_cds_CEJ53800.1_150	PMG11_00141
lcl|CDHK01000001.1_cds_CEJ53801.1_151	PMG11_00142
lcl|CDHK01000001.1_cds_CEJ53802.1_152	PMG11_00143
lcl|CDHK01000001.1_cds_CEJ53803.1_153	PMG11_00144
lcl|CDHK01000001.1_cds_CEJ53804.1_154	PMG11_00145
lcl|CDHK01000001.1_cds_CEJ53805.1_155	PMG11_00146
lcl|CDHK01000001.1_cds_CEJ53806.1_156	PMG11_00147
lcl|CDHK01000001.1_cds_CEJ53807.1_157	PMG11_00148
lcl|CDHK01000001.1_cds_CEJ53808.1_158	PMG11_00149
lcl|CDHK01000001.1_cds_CEJ53809.1_159	PMG11_00150
lcl|CDHK01000001.1_cds_CEJ53810.1_160	PMG11_00151
lcl|CDHK01000001.1_cds_CEJ53811.1_161	PMG11_00152
lcl|CDHK01000001.1_cds_CEJ53812.1_162	PMG11_00153
lcl|CDHK01000001.1_cds_CEJ53813.1_163	PMG11_00154
lcl|CDHK01000001.1_cds_CEJ53814.1_164	PMG11_00155
lcl|CDHK01000001.1_cds_CEJ53815.1_165	PMG11_00156
lcl|CDHK01000001.1_cds_CEJ53816.1_166	PMG11_00157
lcl|CDHK01000001.1_cds_CEJ53817.1_167	PMG11_00158
lcl|CDHK01000001.1_cds_CEJ53818.1_168	PMG11_00159
lcl|CDHK01000001.1_cds_CEJ53819.1_169	PMG11_00160
lcl|CDHK01000001.1_cds_CEJ53820.1_170	PMG11_00161
lcl|CDHK01000001.1_cds_CEJ53821.1_171	PMG11_00162
lcl|CDHK01000001.1_cds_CEJ53822.1_172	PMG11_00163
lcl|CDHK01000001.1_cds_CEJ53823.1_173	PMG11_00164
lcl|CDHK01000001.1_cds_CEJ53824.1_174	PMG11_00165
lcl|CDHK01000001.1_cds_CEJ53825.1_175	PMG11_00166
lcl|CDHK01000001.1_cds_CEJ53826.1_176	PMG11_00167
lcl|CDHK01000001.1_cds_CEJ53827.1_177	PMG11_00168
lcl|CDHK01000001.1_cds_CEJ53828.1_178	PMG11_00169
lcl|CDHK01000001.1_cds_CEJ53829.1_179	PMG11_00170
lcl|CDHK01000001.1_cds_CEJ53831.1_180	PMG11_00171
lcl|CDHK01000001.1_cds_CEJ53830.1_181	PMG11_00171
lcl|CDHK01000001.1_cds_CEJ53832.1_182	PMG11_00172
lcl|CDHK01000001.1_cds_CEJ53833.1_183	PMG11_00173
lcl|CDHK01000001.1_cds_CEJ53834.1_184	PMG11_00174
lcl|CDHK01000001.1_cds_CEJ53835.1_185	PMG11_00175
lcl|CDHK01000001.1_cds_CEJ53836.1_186	PMG11_00176
lcl|CDHK01000001.1_cds_CEJ53837.1_187	PMG11_00177
lcl|CDHK01000001.1_cds_CEJ53838.1_188	PMG11_00178
lcl|CDHK01000001.1_cds_CEJ53839.1_189	PMG11_00179
lcl|CDHK01000001.1_cds_CEJ53840.1_190	PMG11_00181
lcl|CDHK01000001.1_cds_CEJ53841.1_191	PMG11_00180
lcl|CDHK01000001.1_cds_CEJ53842.1_192	PMG11_00182
lcl|CDHK01000001.1_cds_CEJ53843.1_193	PMG11_00183
lcl|CDHK01000001.1_cds_CEJ53844.1_194	PMG11_00184
lcl|CDHK01000001.1_cds_CEJ53845.1_195	PMG11_00185
lcl|CDHK01000001.1_cds_CEJ53846.1_196	PMG11_00186
lcl|CDHK01000001.1_cds_CEJ53847.1_197	PMG11_00186
lcl|CDHK01000001.1_cds_CEJ53848.1_198	PMG11_00187
lcl|CDHK01000001.1_cds_CEJ53849.1_199	PMG11_00188
lcl|CDHK01000001.1_cds_CEJ53850.1_200	PMG11_00189
lcl|CDHK01000001.1_cds_CEJ53851.1_201	PMG11_00190
lcl|CDHK01000001.1_cds_CEJ53852.1_202	PMG11_00191
lcl|CDHK01000001.1_cds_CEJ53853.1_203	PMG11_00192
lcl|CDHK01000001.1_cds_CEJ53854.1_204	PMG11_00193
lcl|CDHK01000001.1_cds_CEJ53855.1_205	PMG11_00194
lcl|CDHK01000001.1_cds_CEJ53856.1_206	PMG11_00195
lcl|CDHK01000001.1_cds_CEJ53857.1_207	PMG11_00196
lcl|CDHK01000001.1_cds_CEJ53858.1_208	PMG11_00197
lcl|CDHK01000001.1_cds_CEJ53859.1_209	PMG11_00198
lcl|CDHK01000001.1_cds_CEJ53860.1_210	PMG11_00199
lcl|CDHK01000001.1_cds_CEJ53861.1_211	PMG11_00200
lcl|CDHK01000001.1_cds_CEJ53862.1_212	PMG11_00201
lcl|CDHK01000001.1_cds_CEJ53863.1_213	PMG11_00202
lcl|CDHK01000001.1_cds_CEJ53864.1_214	PMG11_00203
lcl|CDHK01000001.1_cds_CEJ53865.1_215	PMG11_00204
lcl|CDHK01000001.1_cds_CEJ53866.1_216	PMG11_00205
lcl|CDHK01000001.1_cds_CEJ53867.1_217	PMG11_00206
lcl|CDHK01000001.1_cds_CEJ53868.1_218	PMG11_00207
lcl|CDHK01000001.1_cds_CEJ53869.1_219	PMG11_00208
lcl|CDHK01000001.1_cds_CEJ53870.1_220	PMG11_00209
lcl|CDHK01000001.1_cds_CEJ53871.1_221	PMG11_00210
lcl|CDHK01000001.1_cds_CEJ53872.1_222	PMG11_00211
lcl|CDHK01000001.1_cds_CEJ53873.1_223	PMG11_00212
lcl|CDHK01000001.1_cds_CEJ53874.1_224	PMG11_00213
lcl|CDHK01000001.1_cds_CEJ53875.1_225	PMG11_00214
lcl|CDHK01000001.1_cds_CEJ53876.1_226	PMG11_00215
lcl|CDHK01000001.1_cds_CEJ53877.1_227	PMG11_00216
lcl|CDHK01000001.1_cds_CEJ53878.1_228	PMG11_00217
lcl|CDHK01000001.1_cds_CEJ53879.1_229	PMG11_00218
lcl|CDHK01000001.1_cds_CEJ53880.1_230	PMG11_00219
lcl|CDHK01000001.1_cds_CEJ53881.1_231	PMG11_00220
lcl|CDHK01000001.1_cds_CEJ53882.1_232	PMG11_00221
lcl|CDHK01000001.1_cds_CEJ53883.1_233	PMG11_00222
lcl|CDHK01000001.1_cds_CEJ53885.1_234	PMG11_00222
lcl|CDHK01000001.1_cds_CEJ53884.1_235	PMG11_00222
lcl|CDHK01000001.1_cds_CEJ53886.1_236	PMG11_00223
lcl|CDHK01000001.1_cds_CEJ53887.1_237	PMG11_00224
lcl|CDHK01000001.1_cds_CEJ53888.1_238	PMG11_00225
lcl|CDHK01000001.1_cds_CEJ53889.1_239	PMG11_00225
lcl|CDHK01000001.1_cds_CEJ53890.1_240	PMG11_00226
lcl|CDHK01000001.1_cds_CEJ53891.1_241	PMG11_00227
lcl|CDHK01000001.1_cds_CEJ53892.1_242	PMG11_00228
lcl|CDHK01000001.1_cds_CEJ53893.1_243	PMG11_00229
lcl|CDHK01000001.1_cds_CEJ53894.1_244	PMG11_00229
lcl|CDHK01000001.1_cds_CEJ53895.1_245	PMG11_00230
lcl|CDHK01000001.1_cds_CEJ53896.1_246	PMG11_00231
lcl|CDHK01000001.1_cds_CEJ53897.1_247	PMG11_00232
lcl|CDHK01000001.1_cds_CEJ53898.1_248	PMG11_00233
lcl|CDHK01000001.1_cds_CEJ53899.1_249	PMG11_00234
lcl|CDHK01000001.1_cds_CEJ53900.1_250	PMG11_00235
lcl|CDHK01000001.1_cds_CEJ53901.1_251	PMG11_00236
lcl|CDHK01000001.1_cds_CEJ53902.1_252	PMG11_00237
lcl|CDHK01000001.1_cds_CEJ53903.1_253	PMG11_00238
lcl|CDHK01000001.1_cds_CEJ53904.1_254	PMG11_00239
lcl|CDHK01000001.1_cds_CEJ53905.1_255	PMG11_00240
lcl|CDHK01000001.1_cds_CEJ53906.1_256	PMG11_00241
lcl|CDHK01000001.1_cds_CEJ53907.1_257	PMG11_00242
lcl|CDHK01000001.1_cds_CEJ53908.1_258	PMG11_00243
lcl|CDHK01000001.1_cds_CEJ53909.1_259	PMG11_00244
lcl|CDHK01000001.1_cds_CEJ53910.1_260	PMG11_00245
lcl|CDHK01000001.1_cds_CEJ53911.1_261	PMG11_00246
lcl|CDHK01000001.1_cds_CEJ53912.1_262	PMG11_00247
lcl|CDHK01000001.1_cds_CEJ53913.1_263	PMG11_00248
lcl|CDHK01000001.1_cds_CEJ53914.1_264	PMG11_00249
lcl|CDHK01000001.1_cds_CEJ53915.1_265	PMG11_00250
lcl|CDHK01000001.1_cds_CEJ53917.1_266	PMG11_00251
lcl|CDHK01000001.1_cds_CEJ53916.1_267	PMG11_00251
lcl|CDHK01000001.1_cds_CEJ53918.1_268	PMG11_00251
lcl|CDHK01000001.1_cds_CEJ53919.1_269	PMG11_00252
lcl|CDHK01000001.1_cds_CEJ53920.1_270	PMG11_00253
lcl|CDHK01000001.1_cds_CEJ53921.1_271	PMG11_00254
lcl|CDHK01000001.1_cds_CEJ53922.1_272	PMG11_00255
lcl|CDHK01000001.1_cds_CEJ53923.1_273	PMG11_00256
lcl|CDHK01000001.1_cds_CEJ53924.1_274	PMG11_00257
lcl|CDHK01000001.1_cds_CEJ53925.1_275	PMG11_00258
lcl|CDHK01000001.1_cds_CEJ53926.1_276	PMG11_00258
lcl|CDHK01000001.1_cds_CEJ53927.1_277	PMG11_00258
lcl|CDHK01000001.1_cds_CEJ53928.1_278	PMG11_00259
lcl|CDHK01000001.1_cds_CEJ53929.1_279	PMG11_00260
lcl|CDHK01000001.1_cds_CEJ53930.1_280	PMG11_00261
lcl|CDHK01000001.1_cds_CEJ53931.1_281	PMG11_00262
lcl|CDHK01000001.1_cds_CEJ53932.1_282	PMG11_00263
lcl|CDHK01000001.1_cds_CEJ53933.1_283	PMG11_00264
lcl|CDHK01000001.1_cds_CEJ53934.1_284	PMG11_00265
lcl|CDHK01000001.1_cds_CEJ53935.1_285	PMG11_00266
lcl|CDHK01000001.1_cds_CEJ53936.1_286	PMG11_00267
lcl|CDHK01000001.1_cds_CEJ53937.1_287	PMG11_00268
lcl|CDHK01000001.1_cds_CEJ53938.1_288	PMG11_00269
lcl|CDHK01000001.1_cds_CEJ53939.1_289	PMG11_00270
lcl|CDHK01000001.1_cds_CEJ53940.1_290	PMG11_00271
lcl|CDHK01000001.1_cds_CEJ53941.1_291	PMG11_00272
lcl|CDHK01000001.1_cds_CEJ53942.1_292	PMG11_00273
lcl|CDHK01000001.1_cds_CEJ53943.1_293	PMG11_00274
lcl|CDHK01000001.1_cds_CEJ53944.1_294	PMG11_00275
lcl|CDHK01000001.1_cds_CEJ53945.1_295	PMG11_00276
lcl|CDHK01000001.1_cds_CEJ53946.1_296	PMG11_00277
lcl|CDHK01000001.1_cds_CEJ53947.1_297	PMG11_00278
lcl|CDHK01000001.1_cds_CEJ53948.1_298	PMG11_00279
lcl|CDHK01000001.1_cds_CEJ53949.1_299	PMG11_00280
lcl|CDHK01000001.1_cds_CEJ53950.1_300	PMG11_00281
lcl|CDHK01000001.1_cds_CEJ53951.1_301	PMG11_00282
lcl|CDHK01000001.1_cds_CEJ53952.1_302	PMG11_00283
lcl|CDHK01000001.1_cds_CEJ53953.1_303	PMG11_00284
lcl|CDHK01000001.1_cds_CEJ53954.1_304	PMG11_00285
lcl|CDHK01000001.1_cds_CEJ53955.1_305	PMG11_00286
lcl|CDHK01000001.1_cds_CEJ53956.1_306	PMG11_00286
lcl|CDHK01000001.1_cds_CEJ53957.1_307	PMG11_00287
lcl|CDHK01000001.1_cds_CEJ53958.1_308	PMG11_00288
lcl|CDHK01000001.1_cds_CEJ53959.1_309	PMG11_00289
lcl|CDHK01000001.1_cds_CEJ53960.1_310	PMG11_00290
lcl|CDHK01000001.1_cds_CEJ53961.1_311	PMG11_00291
lcl|CDHK01000001.1_cds_CEJ53962.1_312	PMG11_00292
lcl|CDHK01000001.1_cds_CEJ53963.1_313	PMG11_00293
lcl|CDHK01000001.1_cds_CEJ53964.1_314	PMG11_00295
lcl|CDHK01000001.1_cds_CEJ53965.1_315	PMG11_00294
lcl|CDHK01000001.1_cds_CEJ53966.1_316	PMG11_00296
lcl|CDHK01000001.1_cds_CEJ53967.1_317	PMG11_00297
lcl|CDHK01000001.1_cds_CEJ53968.1_318	PMG11_00298
lcl|CDHK01000001.1_cds_CEJ53969.1_319	PMG11_00299
lcl|CDHK01000001.1_cds_CEJ53970.1_320	PMG11_00300
lcl|CDHK01000001.1_cds_CEJ53971.1_321	PMG11_00301
lcl|CDHK01000001.1_cds_CEJ53972.1_322	PMG11_00302
lcl|CDHK01000001.1_cds_CEJ53973.1_323	PMG11_00303
lcl|CDHK01000001.1_cds_CEJ53974.1_324	PMG11_00304
lcl|CDHK01000001.1_cds_CEJ53975.1_325	PMG11_00305
lcl|CDHK01000001.1_cds_CEJ53976.1_326	PMG11_00306
lcl|CDHK01000001.1_cds_CEJ53977.1_327	PMG11_00307
lcl|CDHK01000001.1_cds_CEJ53978.1_328	PMG11_00309
lcl|CDHK01000001.1_cds_CEJ53979.1_329	PMG11_00308
lcl|CDHK01000001.1_cds_CEJ53980.1_330	PMG11_00310
lcl|CDHK01000001.1_cds_CEJ53981.1_331	PMG11_00311
lcl|CDHK01000001.1_cds_CEJ53982.1_332	PMG11_00312
lcl|CDHK01000001.1_cds_CEJ53983.1_333	PMG11_00313
lcl|CDHK01000001.1_cds_CEJ53984.1_334	PMG11_00313
lcl|CDHK01000001.1_cds_CEJ53985.1_335	PMG11_00314
lcl|CDHK01000001.1_cds_CEJ53986.1_336	PMG11_00315
lcl|CDHK01000001.1_cds_CEJ53987.1_337	PMG11_00315
lcl|CDHK01000001.1_cds_CEJ53988.1_338	PMG11_00316
lcl|CDHK01000001.1_cds_CEJ53989.1_339	PMG11_00317
lcl|CDHK01000001.1_cds_CEJ53990.1_340	PMG11_00318
lcl|CDHK01000001.1_cds_CEJ53991.1_341	PMG11_00319
lcl|CDHK01000001.1_cds_CEJ53992.1_342	PMG11_00320
lcl|CDHK01000001.1_cds_CEJ53993.1_343	PMG11_00321
lcl|CDHK01000001.1_cds_CEJ53994.1_344	PMG11_00322
lcl|CDHK01000001.1_cds_CEJ53995.1_345	PMG11_00323
lcl|CDHK01000001.1_cds_CEJ53996.1_346	PMG11_00324
lcl|CDHK01000001.1_cds_CEJ53997.1_347	PMG11_00325
lcl|CDHK01000001.1_cds_CEJ53998.1_348	PMG11_00326
lcl|CDHK01000001.1_cds_CEJ53999.1_349	PMG11_00327
lcl|CDHK01000001.1_cds_CEJ54000.1_350	PMG11_00328
lcl|CDHK01000001.1_cds_CEJ54001.1_351	PMG11_00329
lcl|CDHK01000001.1_cds_CEJ54002.1_352	PMG11_00330
lcl|CDHK01000001.1_cds_CEJ54003.1_353	PMG11_00331
lcl|CDHK01000001.1_cds_CEJ54004.1_354	PMG11_00332
lcl|CDHK01000001.1_cds_CEJ54005.1_355	PMG11_00333
lcl|CDHK01000001.1_cds_CEJ54006.1_356	PMG11_00334
lcl|CDHK01000001.1_cds_CEJ54007.1_357	PMG11_00335
lcl|CDHK01000001.1_cds_CEJ54008.1_358	PMG11_00336
lcl|CDHK01000001.1_cds_CEJ54009.1_359	PMG11_00337
lcl|CDHK01000001.1_cds_CEJ54010.1_360	PMG11_00338
lcl|CDHK01000001.1_cds_CEJ54011.1_361	PMG11_00339
lcl|CDHK01000001.1_cds_CEJ54012.1_362	PMG11_00340
lcl|CDHK01000001.1_cds_CEJ54013.1_363	PMG11_00341
lcl|CDHK01000001.1_cds_CEJ54014.1_364	PMG11_00342
lcl|CDHK01000001.1_cds_CEJ54015.1_365	PMG11_00343
lcl|CDHK01000001.1_cds_CEJ54016.1_366	PMG11_00343
lcl|CDHK01000001.1_cds_CEJ54017.1_367	PMG11_00344
lcl|CDHK01000001.1_cds_CEJ54018.1_368	PMG11_00344
lcl|CDHK01000001.1_cds_CEJ54019.1_369	PMG11_00345
lcl|CDHK01000001.1_cds_CEJ54020.1_370	PMG11_00346
lcl|CDHK01000001.1_cds_CEJ54021.1_371	PMG11_00347
lcl|CDHK01000001.1_cds_CEJ54022.1_372	PMG11_00348
lcl|CDHK01000001.1_cds_CEJ54023.1_373	PMG11_00349
lcl|CDHK01000001.1_cds_CEJ54024.1_374	PMG11_00350
lcl|CDHK01000001.1_cds_CEJ54025.1_375	PMG11_00351
lcl|CDHK01000001.1_cds_CEJ54026.1_376	PMG11_00351
lcl|CDHK01000001.1_cds_CEJ54027.1_377	PMG11_00352
lcl|CDHK01000001.1_cds_CEJ54028.1_378	PMG11_00353
lcl|CDHK01000001.1_cds_CEJ54029.1_379	PMG11_00354
lcl|CDHK01000001.1_cds_CEJ54030.1_380	PMG11_00355
lcl|CDHK01000001.1_cds_CEJ54031.1_381	PMG11_00356
lcl|CDHK01000001.1_cds_CEJ54032.1_382	PMG11_00357
lcl|CDHK01000001.1_cds_CEJ54033.1_383	PMG11_00358
lcl|CDHK01000001.1_cds_CEJ54034.1_384	PMG11_00359
lcl|CDHK01000001.1_cds_CEJ54035.1_385	PMG11_00360
lcl|CDHK01000001.1_cds_CEJ54036.1_386	PMG11_00361
lcl|CDHK01000001.1_cds_CEJ54037.1_387	PMG11_00362
