locus_tag	chrom	start	end	strand	product
PMG11_00124	CDHK01000001.1	366860	367928	+	hypothetical protein
PMG11_00125	CDHK01000001.1	369253	370135	-	hypothetical protein
PMG11_00126	CDHK01000001.1	370628	371828	-	Putative Mitochondrial phosphate carrier protein
PMG11_00127	CDHK01000001.1	373151	375617	-	hypothetical protein
PMG11_00128	CDHK01000001.1	375685	376408	+	hypothetical protein
PMG11_00129	CDHK01000001.1	376467	378688	-	Putative F-box and WD repeat-containing protein
PMG11_00130	CDHK01000001.1	380289	381621	-	Putative Zinc-regulated zinc transporter protein
PMG11_00131	CDHK01000001.1	382642	384646	-	Putative Integral membrane protein
PMG11_00132	CDHK01000001.1	388140	389600	+	hypothetical protein
PMG11_00133	CDHK01000001.1	389836	390889	-	hypothetical protein
PMG11_00134	CDHK01000001.1	391547	393289	+	hypothetical protein
PMG11_00135	CDHK01000001.1	393480	395131	+	Putative Histone acetyltransferase type B catalytic subunit
PMG11_00136	CDHK01000001.1	395427	396397	+	Putative Small nuclear ribonucleoprotein
PMG11_00137	CDHK01000001.1	396561	398708	+	hypothetical protein
PMG11_00138	CDHK01000001.1	399667	400080	+	hypothetical protein
PMG11_00139	CDHK01000001.1	400679	402551	+	hypothetical protein
PMG11_00140	CDHK01000001.1	403054	405447	-	hypothetical protein
PMG11_00141	CDHK01000001.1	405757	407775	+	Putative Exocyst component protein
PMG11_00142	CDHK01000001.1	408079	410095	+	Putative Adenylosuccinate lyase
PMG11_00143	CDHK01000001.1	411697	412002	-	hypothetical protein
PMG11_00144	CDHK01000001.1	414270	415885	+	Putative
PMG11_00145	CDHK01000001.1	415898	416367	+	hypothetical protein
PMG11_00146	CDHK01000001.1	416822	417995	-	hypothetical protein
PMG11_00147	CDHK01000001.1	418796	421142	-	hypothetical protein
PMG11_00148	CDHK01000001.1	422413	423808	-	hypothetical protein
PMG11_00149	CDHK01000001.1	423954	425688	-	Putative 60S ribosomal protein L3
PMG11_00150	CDHK01000001.1	426594	430903	-	Putative Transcriptional corepressor Cyc8
PMG11_00151	CDHK01000001.1	440958	443276	+	hypothetical protein
PMG11_00152	CDHK01000001.1	443925	445070	+	hypothetical protein
PMG11_00153	CDHK01000001.1	445122	446329	-	hypothetical protein
PMG11_00154	CDHK01000001.1	446857	449730	+	hypothetical protein
PMG11_00155	CDHK01000001.1	449775	451250	-	hypothetical protein
PMG11_00156	CDHK01000001.1	451636	452598	-	hypothetical protein
PMG11_00157	CDHK01000001.1	464906	467047	-	hypothetical protein
PMG11_00158	CDHK01000001.1	467700	469299	-	hypothetical protein
PMG11_00159	CDHK01000001.1	471294	472439	+	hypothetical protein
PMG11_00160	CDHK01000001.1	476006	477178	-	hypothetical protein
PMG11_00161	CDHK01000001.1	478328	479063	-	hypothetical protein
PMG11_00162	CDHK01000001.1	489897	492035	+	Putative DNA-binding protein creA
PMG11_00163	CDHK01000001.1	493284	494261	+	hypothetical protein
PMG11_00164	CDHK01000001.1	495217	496746	+	Putative Small nuclear ribonucleoprotein
PMG11_00165	CDHK01000001.1	496825	501438	+	Putative Pre-rRNA processing protein Rrp12
PMG11_00166	CDHK01000001.1	502728	503789	-	hypothetical protein
PMG11_00167	CDHK01000001.1	504660	505385	+	hypothetical protein
PMG11_00168	CDHK01000001.1	506718	510417	-	Putative Vacuolar protein-sorting protein bro-1
PMG11_00169	CDHK01000001.1	510828	512615	-	Putative Molecular chaperone
PMG11_00170	CDHK01000001.1	512799	517039	+	Putative Lon protease homolog, mitochondrial
PMG11_00171	CDHK01000001.1	517471	519901	+	hypothetical protein
PMG11_00172	CDHK01000001.1	520500	524900	+	Putative Protein kinase domain-containing protein
PMG11_00173	CDHK01000001.1	525142	526841	-	Putative CobW domain protein
PMG11_00174	CDHK01000001.1	526964	528833	+	Putative Mob1 family protein
PMG11_00175	CDHK01000001.1	528848	530584	+	Putative Bis(5'-nucleosyl)-tetraphosphatase
PMG11_00176	CDHK01000001.1	529245	530738	-	Putative HD family hydrolase
PMG11_00177	CDHK01000001.1	530870	533070	+	hypothetical protein
PMG11_00178	CDHK01000001.1	533860	536502	-	hypothetical protein
PMG11_00179	CDHK01000001.1	536836	537365	+	hypothetical protein
PMG11_00180	CDHK01000001.1	537549	541349	-	hypothetical protein
PMG11_00181	CDHK01000001.1	537831	538883	+	hypothetical protein
PMG11_00182	CDHK01000001.1	543161	544847	-	hypothetical protein
PMG11_00183	CDHK01000001.1	545615	547108	-	Putative Very-long-chain 3-oxoacyl-CoA reductase
PMG11_00184	CDHK01000001.1	547144	547609	+	hypothetical protein
PMG11_00185	CDHK01000001.1	548170	549534	+	Putative Related to GLY1-L-threonine aldolase, low-specific
PMG11_00186	CDHK01000001.1	549686	551345	-	hypothetical protein
PMG11_00187	CDHK01000001.1	551490	553826	-	hypothetical protein
PMG11_00188	CDHK01000001.1	554126	555593	-	hypothetical protein
PMG11_00189	CDHK01000001.1	555638	557565	-	Putative Galactose-1-phosphate uridylyltransferase
PMG11_00190	CDHK01000001.1	558158	559281	+	hypothetical protein
PMG11_00191	CDHK01000001.1	560954	562786	+	Putative MFS multidrug transporter
PMG11_00192	CDHK01000001.1	562921	564226	+	hypothetical protein
PMG11_00193	CDHK01000001.1	564665	565663	+	Putative 6-phosphogluconate dehydrogenase family protein
PMG11_00194	CDHK01000001.1	566235	568068	-	hypothetical protein
PMG11_00195	CDHK01000001.1	571780	572646	-	hypothetical protein
PMG11_00196	CDHK01000001.1	573416	575605	+	hypothetical protein
PMG11_00197	CDHK01000001.1	575937	576876	-	hypothetical protein
PMG11_00198	CDHK01000001.1	578613	581355	-	Putative Nucleolar GTP-binding protein 1
PMG11_00199	CDHK01000001.1	581522	583623	-	Putative Acetyltransferase, GNAT family
PMG11_00200	CDHK01000001.1	585004	587564	+	Putative Amino-acid acetyltransferase, mitochondrial
PMG11_00201	CDHK01000001.1	587721	589359	+	Putative Arv1-like family protein
PMG11_00202	CDHK01000001.1	589664	590227	-	hypothetical protein
PMG11_00203	CDHK01000001.1	590843	592134	-	Putative BAR domain protein
PMG11_00204	CDHK01000001.1	592427	593971	-	hypothetical protein
PMG11_00205	CDHK01000001.1	594480	597888	-	Putative Transcription factor
PMG11_00206	CDHK01000001.1	598166	600436	+	hypothetical protein
PMG11_00207	CDHK01000001.1	601016	601486	+	hypothetical protein
PMG11_00208	CDHK01000001.1	601702	604506	-	hypothetical protein
PMG11_00209	CDHK01000001.1	605014	606349	-	Putative Proteasome subunit alpha type
PMG11_00210	CDHK01000001.1	606493	609349	+	Putative Gamma-tubulin complex protein 2 (Eurofung)
PMG11_00211	CDHK01000001.1	610390	611391	+	hypothetical protein
PMG11_00212	CDHK01000001.1	611959	612147	+	hypothetical protein
PMG11_00213	CDHK01000001.1	617450	618965	+	Putative UMTA methyltransferase family protein
PMG11_00214	CDHK01000001.1	621083	622550	+	Putative KRR1 small subunit processome component
PMG11_00215	CDHK01000001.1	622758	624574	-	hypothetical protein
PMG11_00216	CDHK01000001.1	625413	627330	-	hypothetical protein
PMG11_00217	CDHK01000001.1	627712	629944	-	Putative Autophagy-related protein Atg22B1 (Eurofung)
PMG11_00218	CDHK01000001.1	632094	634011	+	hypothetical protein
PMG11_00219	CDHK01000001.1	633957	637654	+	Putative MIP transporter
PMG11_00220	CDHK01000001.1	637727	639260	-	hypothetical protein
PMG11_00221	CDHK01000001.1	641130	642108	+	hypothetical protein
PMG11_00222	CDHK01000001.1	642341	644935	-	hypothetical protein
PMG11_00223	CDHK01000001.1	645242	647583	-	Putative Pantothenate transporter
PMG11_00224	CDHK01000001.1	647783	650623	-	Putative Acyl-CoA synthetases
PMG11_00225	CDHK01000001.1	650838	652837	+	Putative Catalytic activity: Acyl-CoA acetyl-CoA <=> CoA 3-oxoacyl-CoA
PMG11_00226	CDHK01000001.1	653549	656289	+	Putative GPI-anchored cell wall beta-1,3-endoglucanase EglC
PMG11_00227	CDHK01000001.1	656882	658678	-	hypothetical protein
PMG11_00228	CDHK01000001.1	659846	661045	+	hypothetical protein
PMG11_00229	CDHK01000001.1	662109	663227	+	hypothetical protein
PMG11_00230	CDHK01000001.1	663364	664326	-	Putative V-type proton ATPase subunit F
PMG11_00231	CDHK01000001.1	664556	665987	+	hypothetical protein
PMG11_00232	CDHK01000001.1	666822	669850	+	hypothetical protein
PMG11_00233	CDHK01000001.1	671337	673298	-	Putative Methylenetetrahydrofolate reductase
PMG11_00234	CDHK01000001.1	673994	675798	+	Putative Orotate phosphoribosyltransferase
PMG11_00235	CDHK01000001.1	678126	685684	+	Putative 3-isopropylmalate dehydratase
PMG11_00236	CDHK01000001.1	685847	688765	-	Putative 3-isopropylmalate dehydratase
PMG11_00237	CDHK01000001.1	689713	691160	-	hypothetical protein
PMG11_00238	CDHK01000001.1	692843	694470	+	Putative DUF895 domain membrane protein
PMG11_00239	CDHK01000001.1	694542	696259	-	Putative UDP-N-acetyl-glucosamine-1-P transferase Alg7
PMG11_00240	CDHK01000001.1	696531	697798	+	Putative Nuclear pore complex subunit
PMG11_00241	CDHK01000001.1	698205	699743	+	hypothetical protein
PMG11_00242	CDHK01000001.1	700061	706246	+	hypothetical protein
PMG11_00243	CDHK01000001.1	707078	708886	+	hypothetical protein
PMG11_00244	CDHK01000001.1	709029	711283	+	Putative RNA polymerase II assessory factor Cdc73p
PMG11_00245	CDHK01000001.1	712496	716887	-	Putative Developmental regulator flbA
PMG11_00246	CDHK01000001.1	728998	732100	-	hypothetical protein
PMG11_00247	CDHK01000001.1	732380	733285	+	Putative Thioesterase family protein
PMG11_00248	CDHK01000001.1	733401	735552	-	Putative FAD/NAD(P)-binding protein
PMG11_00249	CDHK01000001.1	735651	736902	-	Putative 54S ribosomal protein L4, mitochondrial
PMG11_00250	CDHK01000001.1	736882	737864	+	hypothetical protein
PMG11_00251	CDHK01000001.1	738250	741016	+	Putative NOT2 family protein
PMG11_00252	CDHK01000001.1	741035	742749	-	hypothetical protein
PMG11_00253	CDHK01000001.1	742891	747376	+	Putative Structural maintenance of chromosomes protein
PMG11_00254	CDHK01000001.1	747407	748772	+	Putative AMFR protein
PMG11_00255	CDHK01000001.1	748776	749704	-	Putative DNA replication complex GINS protein PSF2
PMG11_00256	CDHK01000001.1	749923	752003	+	hypothetical protein
PMG11_00257	CDHK01000001.1	752767	755772	-	hypothetical protein
PMG11_00258	CDHK01000001.1	756242	758843	+	hypothetical protein
PMG11_00259	CDHK01000001.1	759030	761391	+	hypothetical protein
PMG11_00260	CDHK01000001.1	761640	762180	-	hypothetical protein
PMG11_00261	CDHK01000001.1	762642	763703	-	hypothetical protein
PMG11_00262	CDHK01000001.1	764453	764941	-	Putative Ribose/galactose isomerase
PMG11_00263	CDHK01000001.1	767129	767962	-	hypothetical protein
PMG11_00264	CDHK01000001.1	768806	769657	+	Putative Triosephosphate isomerase
PMG11_00265	CDHK01000001.1	770816	772435	-	Putative Dihydroorotate dehydrogenase
PMG11_00266	CDHK01000001.1	773083	775146	-	hypothetical protein
PMG11_00267	CDHK01000001.1	775248	778038	-	Putative Chromatin remodeling complex subunit
PMG11_00268	CDHK01000001.1	778087	779483	+	Putative GTP-binding ADP-ribosylation factor-like protein
PMG11_00269	CDHK01000001.1	779631	781538	+	Putative Alcohol dehydrogenase
PMG11_00270	CDHK01000001.1	788602	790187	-	hypothetical protein
PMG11_00271	CDHK01000001.1	791775	794658	+	Putative Myo-inositol-1-phosphate synthase
PMG11_00272	CDHK01000001.1	794731	795934	-	Putative 1-aminocyclopropane-1-carboxylate deaminase
PMG11_00273	CDHK01000001.1	796784	798739	-	Putative Glutathione-dependent formaldehyde dehydrogenase
PMG11_00274	CDHK01000001.1	801517	806191	+	Putative Rho-GTPase-activating protein 5
PMG11_00275	CDHK01000001.1	806753	807752	+	hypothetical protein
PMG11_00276	CDHK01000001.1	808070	808894	-	Putative Enoyl-CoA hydratase/carnithine racemase
PMG11_00277	CDHK01000001.1	809043	811131	+	hypothetical protein
PMG11_00278	CDHK01000001.1	811091	812363	-	hypothetical protein
PMG11_00279	CDHK01000001.1	812631	814698	-	hypothetical protein
PMG11_00280	CDHK01000001.1	815234	817412	+	hypothetical protein
PMG11_00281	CDHK01000001.1	817513	819744	-	hypothetical protein
PMG11_00282	CDHK01000001.1	820076	821387	-	Putative Chitinase
PMG11_00283	CDHK01000001.1	823843	825063	+	hypothetical protein
PMG11_00284	CDHK01000001.1	825277	826662	+	Putative mRNA 3'-end-processing protein yth1
PMG11_00285	CDHK01000001.1	827237	828042	+	Putative Protoplast secreted protein 2
PMG11_00286	CDHK01000001.1	828722	833099	+	Putative Nuclear protein localization protein 4
PMG11_00287	CDHK01000001.1	831672	833323	-	hypothetical protein
PMG11_00288	CDHK01000001.1	834512	837540	+	Putative Protein phosphatase methylesterase 1
PMG11_00289	CDHK01000001.1	835678	840285	-	Putative Transcription initiation factor TFIID subunit
PMG11_00290	CDHK01000001.1	840422	841213	+	hypothetical protein
PMG11_00291	CDHK01000001.1	840691	842616	-	Putative F-actin capping protein beta subunit
PMG11_00292	CDHK01000001.1	842731	846185	-	Putative DEAD-box like helicase
PMG11_00293	CDHK01000001.1	847478	848581	+	hypothetical protein
PMG11_00294	CDHK01000001.1	848992	854624	-	hypothetical protein
PMG11_00295	CDHK01000001.1	848992	850044	+	hypothetical protein
PMG11_00296	CDHK01000001.1	855350	856376	-	Putative Dolichol phosphate-mannose biosynthesis regulatory protein Dpm2
PMG11_00297	CDHK01000001.1	856680	859217	+	Putative MIF4G-like type 3
PMG11_00298	CDHK01000001.1	859553	861253	-	hypothetical protein
PMG11_00299	CDHK01000001.1	861459	865649	-	hypothetical protein
PMG11_00300	CDHK01000001.1	865949	867614	-	hypothetical protein
PMG11_00301	CDHK01000001.1	868202	869002	-	Putative 6-phosphogluconolactonase
PMG11_00302	CDHK01000001.1	873734	874189	+	hypothetical protein
PMG11_00303	CDHK01000001.1	875524	876915	+	Putative RNA binding protein
PMG11_00304	CDHK01000001.1	877399	879035	-	Putative Rab-GAP/TBC domain protein
PMG11_00305	CDHK01000001.1	879277	880239	-	hypothetical protein
PMG11_00306	CDHK01000001.1	880487	884349	+	hypothetical protein
PMG11_00307	CDHK01000001.1	883742	884188	-	hypothetical protein
PMG11_00308	CDHK01000001.1	885571	888860	-	hypothetical protein
PMG11_00309	CDHK01000001.1	885768	886742	+	hypothetical protein
PMG11_00310	CDHK01000001.1	889508	890707	-	hypothetical protein
PMG11_00311	CDHK01000001.1	892050	893346	+	Putative Pyridoxine kinase
PMG11_00312	CDHK01000001.1	893665	894892	-	Putative DUTPase (Dut), putaive
PMG11_00313	CDHK01000001.1	898556	902924	+	Putative Transcriptional regulator prz1
PMG11_00314	CDHK01000001.1	905830	907041	-	Putative C2H2 type zinc finger domain protein
PMG11_00315	CDHK01000001.1	909763	911251	-	hypothetical protein
PMG11_00316	CDHK01000001.1	911406	914699	+	hypothetical protein
PMG11_00317	CDHK01000001.1	914936	915313	-	hypothetical protein
PMG11_00318	CDHK01000001.1	916086	918030	-	hypothetical protein
PMG11_00319	CDHK01000001.1	918149	919000	-	Putative ATP synthase F1 epsilon subunit
PMG11_00320	CDHK01000001.1	919833	920486	+	Putative Complex: S. cerevisiae L29 is part of the 60S subunit of the ribosome
PMG11_00321	CDHK01000001.1	921115	922717	-	hypothetical protein
PMG11_00322	CDHK01000001.1	923079	924457	-	hypothetical protein
PMG11_00323	CDHK01000001.1	927129	929340	+	Putative Complex: B. thermoamyloliquefaciens alpha-glucosidase II is a homohexamer
PMG11_00324	CDHK01000001.1	939677	941397	+	Putative Myb transcription factor
PMG11_00325	CDHK01000001.1	947083	953598	-	Putative UDP-N-acetylglucosaminyltransferase
PMG11_00326	CDHK01000001.1	956717	958072	-	Putative 60S ribosomal protein L12
PMG11_00327	CDHK01000001.1	958230	961259	-	Putative Protein transport protein sec-23
PMG11_00328	CDHK01000001.1	961600	963440	-	Putative DNA primase large subunit
PMG11_00329	CDHK01000001.1	964065	964885	+	Putative Adenylate kinase 2
PMG11_00330	CDHK01000001.1	965210	966162	-	hypothetical protein
PMG11_00331	CDHK01000001.1	966794	969499	-	Putative Peroxisomal carrier protein
PMG11_00332	CDHK01000001.1	968217	971939	+	Putative Calpain-like protease PalBory
PMG11_00333	CDHK01000001.1	972184	973756	+	hypothetical protein
PMG11_00334	CDHK01000001.1	974365	974904	+	hypothetical protein
PMG11_00335	CDHK01000001.1	975119	975742	+	hypothetical protein
PMG11_00336	CDHK01000001.1	976238	978727	+	Putative NAD dependent epimerase/dehydratase family protein
PMG11_00337	CDHK01000001.1	978932	980333	-	hypothetical protein
PMG11_00338	CDHK01000001.1	982104	985957	-	Putative Topoisomerase I
PMG11_00339	CDHK01000001.1	986269	987424	+	Putative ATP synthase subunit gamma
PMG11_00340	CDHK01000001.1	988132	988932	+	hypothetical protein
PMG11_00341	CDHK01000001.1	989406	990923	-	hypothetical protein
PMG11_00342	CDHK01000001.1	991176	992717	+	Putative PDI related protein A
PMG11_00343	CDHK01000001.1	991442	996536	-	Putative Nucleolar atpase
PMG11_00344	CDHK01000001.1	996945	1000764	+	hypothetical protein
PMG11_00345	CDHK01000001.1	1001227	1002541	-	hypothetical protein
PMG11_00346	CDHK01000001.1	1005236	1010504	-	Putative Golgi complex component
PMG11_00347	CDHK01000001.1	1010824	1012602	+	hypothetical protein
PMG11_00348	CDHK01000001.1	1012728	1016112	-	hypothetical protein
PMG11_00349	CDHK01000001.1	1021377	1026342	+	hypothetical protein
PMG11_00350	CDHK01000001.1	1027167	1028531	+	Putative Quinone reductase
PMG11_00351	CDHK01000001.1	1030144	1035269	+	hypothetical protein
PMG11_00352	CDHK01000001.1	1035299	1036707	-	hypothetical protein
PMG11_00353	CDHK01000001.1	1037532	1037826	+	hypothetical protein
PMG11_00354	CDHK01000001.1	1037726	1039064	-	hypothetical protein
PMG11_00355	CDHK01000001.1	1039858	1040301	-	Putative G-protein complex gamma subunit Ste18/GpgA
PMG11_00356	CDHK01000001.1	1041206	1045408	+	Putative Eukaryotic translation initiation factor 3 subunit A
PMG11_00357	CDHK01000001.1	1046732	1048733	-	hypothetical protein
PMG11_00358	CDHK01000001.1	1050919	1052217	+	Putative Uroporphyrinogen decarboxylase
